Year,Month,Day,Hour,Minute,Longitude,Latitude
2016,3,13,11,49,127.07183333333333,32.50736666666667
2016,3,15,20,15,126.61581666666666,33.75931666666666
2016,3,19,12,1,129.28193333333334,34.94963333333333
2016,3,19,12,38,129.2124,34.986666666666665
2016,7,15,15,40,127.07446666666667,32.51626666666667
2016,7,18,12,48,129.29723333333334,34.92175
2016,7,20,1,49,129.39828333333332,37.55258333333333
